"gene"	"ASDc"	"IDG"	"hs"	"SCZ"	"FMRP"	"PSD"	"NP_exon_max_z"	"any_Brain_GO"	"TADAq"	"TADAi"	"UASD"	"varp"	"meanp"	"medp"	"minp"	"maxp"
"ENC1"	0	0	0.756	1	1	0	6.37760027875996	1	0.93690976738772	0	0	0.00435178505292946	0.981307860374025	0.997507458087959	0.00373158990660456	1
"YWHAG"	0	0	0.991	1	1	1	6.38868898564155	1	0.733418084183783	0	0	0.00447898565723344	0.977893634634071	0.99617460325101	0.0552272167380646	1
"TCF4"	0	0	0.959	1	1	0	4.96708299424554	1	0.496864384513892	0	0	0.0045390897833846	0.977807960615982	0.996074684167673	0.0172255744845683	1
"SCN8A"	0	0	0.523	1	1	0	6.83378080655651	1	0.937508593763697	0	0	0.00380659186208574	0.976812123640745	0.996156637366962	0.189498830182674	1
"KCNA2"	0	0	0.409	1	1	0	6.88800358649861	1	0.933312484088555	0	0	0.00261879995345769	0.973822620483417	0.994235330800652	0.598435256291282	1
"SMARCC2"	0	0	0.995	1	1	0	4.36986068711885	1	0.537962058874662	0	0	0.00427468159638343	0.97375496255691	0.99383766316409	0.117363349183597	1
"NLGN3"	1	0	0.442	1	1	0	6.12949877360203	1	0.786040560253209	0	1	0.00229130295216896	0.972771805806178	0.992409640672143	0.715675700652277	1
"ATP1A3"	0	0	0.918	1	1	1	4.9649281829588	1	0.945602880551137	0	0	0.00273265643028794	0.969202862623526	0.988500987710871	0.523037468493284	1
"LINGO1"	0	0	0.706	1	1	1	6.66155018712424	1	0.942294232888082	0	0	0.00576212819653514	0.968055065034618	0.993028628922625	0.0264599702407169	1
"PKD1"	0	0	0.73	1	1	0	3.8758577704409	1	0.949277049314896	0	0	0.00278601080908926	0.964131802088299	0.984030298565068	0.693894915611407	1
"NR2F1"	0	0	0.749	1	1	0	3.80715041729544	1	0.450103836036785	0	0	0.00281765598289815	0.963768000813897	0.984004759234074	0.690201095209553	1
"CACNA1A"	0	0	0.611	1	1	0	4.0375152116705	1	0.945717858295083	0	0	0.00295179400152454	0.961927203144228	0.981691986224385	0.702487760130753	1
"SCN2A"	1	0	0.566	1	1	0	4.14702805972463	1	3.16934423150173e-10	1	1	0.00299240576671594	0.961432314154261	0.981238497887159	0.708229133312527	1
"KCNC3"	0	0	0.306	1	1	0	5.51948861745479	1	0.9409987412232	0	0	0.00336034404512231	0.960639353023502	0.983155329116943	0.667308317680138	1
"CHD8"	1	0	0.637	1	1	0	3.74765107921084	1	2.80347078884802e-10	1	1	0.00318985564481584	0.958821281811196	0.978714465206052	0.686982559500911	1
"OLFM1"	0	0	0.678	1	1	1	4.80903936838593	1	0.926070684776242	0	0	0.00289379521411642	0.958736085871821	0.977300414106529	0.695985994093303	1
"TNIK"	0	0	0.806	1	1	0	3.3932349975665	1	0.927164279013579	0	0	0.00324663667736986	0.958673284555885	0.980150687185316	0.66551237445651	1
